ParticipNumber,Time,Condition,PostDesire,PostPay,DoveDesire,DovePay,ColgateDesire,ColgatePay,InnocentDesire,InnocentPay,EnergizeDesire,EnergizePay,SonyCDDesire,SonyCDPay,WindexDesire,WindexPay,DettollDesire,DettollPay,SnickersDesire,SnickersPay,SurfDesire,SurfPay,CleanseDesire,CleansePay,ControlDesirability,Controlpay
 ,2,2,4,2.5,5,3,6,2,2,2,3,2,1,2,1,1.5,1,2,1,.5,6,4.5,3.8,2.6,2.2,1.75
 ,2,2,3,1,3,1,3,1.5,4,1,1,1,1,0,1,0,1,0,4,1,2,2,2,.9,2.6,.75
 ,2,2,6,2,5,2,4,1.5,5,2,6,3,2,4,2,2,3,1.5,1,.8,3,3,3.4,2,4,2.45
 ,2,2,3,1,2,2,4,2,5,2,2,1,1,1.5,1,3,2,2,5,.7,5,2,2.8,2.2,3.2,1.05
 ,2,2,2,1,1,2,6,2,7,1.5,6,5,1,0,2,1,6,4,1,.5,5,4,4,2.6,3.4,1.625
 ,2,2,5,2,4,1.5,4,1.5,5,1.5,3,2,3,.5,3,1.5,2,1.5,6,1,4,1.5,3.4,1.5,4.4,1.375
 ,2,2,2,.5,5,3,7,2.5,6,2,3,2,2,1,1,.99,2,2.5,6,.5,5,4,4,2.598,3.8,1
 ,2,2,2,.5,5,3,7,2.5,6,2,3,2,2,1,1,.99,2,2.5,6,.5,5,4,4,2.598,3.8,1
 ,2,2,3,1,4,1,2,1,6,2,3,1,0,0,1,1,1,1,5,1,2,3,2,1.4,3.4,.75
 ,2,2,1,0,0,0,3,1,5,4,3,2,1,1,0,0,3,1.5,6,.6,4,5,2,1.5,3.2,.9
 ,2,2,5,2,3,2.5,6,2,7,3,5,4,2,3,2,2,2,3,4,.7,5,3,3.6,2.5,4.6,2.425
 ,2,2,.5,1,.3,4,1,5,1,4,.5,1,1,0,1,0,1,0,5,.5,1,0,.86,1.8,1.6,.625
 ,2,2,1.5,3,2,3,3,2,6,1.5,1,0,1,0,1,0,1,0,6,1.2,3,3,2,1.6,3.1,1.05
 ,2,2,2,1,3,1,6,3,6,3,6,2,1,0,1,0,1,0,1,0,6,3,3.4,1.4,3.2,.75
 ,2,2,1,.5,7,3,7,2.5,5,1.4,4,3,1,.5,1,2,1,2,5,.6,7,1.5,4.6,2.2,3.2,1.15
 ,2,2,1.5,3,.9,4,1.2,5,1.5,4,2,2,2,.8,1,1.7,2,2,5,.8,4,2.1,1.82,2.96,2.4,1.65
